age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,Income over 50k? 0=no 1=yes
67,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,1
72,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,1
46,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
78,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
71,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
83,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
68,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
26,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,0
68,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
49,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,0
70,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,12,1
27,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,0
35,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
23,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,0
81,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,1
66,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,25,1
71,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
68,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,55,1
68,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,1
52,Private,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,40,0
40,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0
21,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,0
35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
70,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,0
65,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,0
46,Private,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female,45,0
26,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,55,0
59,Local-gov,HS-grad,Widowed,Farming-fishing,Unmarried,White,Male,40,0
61,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,0
60,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,0
49,Self-emp-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50,0
34,Private,Bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40,0
25,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,35,0
55,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,45,0
59,Local-gov,HS-grad,Separated,Protective-serv,Other-relative,Black,Female,40,0
28,State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,40,0
56,Self-emp-not-inc,Masters,Divorced,Sales,Unmarried,White,Female,60,0
41,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,0
42,Private,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,40,0
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,40,0
40,Self-emp-not-inc,Prof-school,Divorced,Other-service,Not-in-family,White,Female,35,0
69,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,40,1
66,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
69,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
55,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,0
57,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,0
20,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,10,0
33,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,84,0
30,Self-emp-not-inc,Some-college,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40,0
40,Private,Bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,0
38,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,55,1
46,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Male,38,1
29,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,45,1
57,Federal-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,0
39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,42,1
47,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,40,1
26,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,45,1
27,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,0
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,1
34,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,50,0
33,Private,12th,Divorced,Craft-repair,Not-in-family,White,Male,42,0
38,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,60,0
57,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,38,1
36,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,70,0
44,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Male,40,1
49,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,50,1
44,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,60,0
55,Private,Some-college,Widowed,Farming-fishing,Not-in-family,White,Male,62,1
45,Private,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,44,1
48,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,1
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
55,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40,1
70,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
70,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,1
73,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
72,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,1
31,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,40,0
28,Private,10th,Widowed,Adm-clerical,Unmarried,White,Female,35,0
23,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,40,1
49,Local-gov,9th,Widowed,Handlers-cleaners,Unmarried,White,Male,40,1
27,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,1
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,40,0
68,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,30,0
65,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,59,0
67,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,5,0
66,Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,25,0
24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,24,0
44,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,35,0
35,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,0
20,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,18,0
38,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,0
39,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,40,0
32,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,White,Female,40,0
42,Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,0
42,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60,1
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
28,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,0
41,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Other,Male,84,0
41,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
58,Self-emp-not-inc,1st-4th,Married-civ-spouse,Transport-moving,Husband,White,Male,18,0
59,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,12,0
45,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,45,0
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0
47,Private,10th,Married-civ-spouse,Sales,Husband,White,Male,52,0
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
47,Self-emp-not-inc,5th-6th,Married-civ-spouse,Sales,Husband,White,Male,50,0
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,0
65,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,1
70,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1
75,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
65,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
65,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,1
73,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
68,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0
74,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,20,0
43,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,72,0
19,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Own-child,White,Male,55,0
37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
45,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,40,0
64,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,0
30,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
51,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,0
35,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
29,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,0
34,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
26,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0
54,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,0
52,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,0
31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0
38,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
30,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
34,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,57,0
52,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,0
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,0
39,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
29,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,40,0
45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
34,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,55,0
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
39,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20,0
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
35,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
46,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,0
38,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,0
34,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,10,0
29,Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
32,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0
60,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,34,0
49,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
53,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,45,0
56,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
48,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
32,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,0
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
32,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,0
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
26,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
59,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0
47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,0
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Female,40,0
45,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,0
30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0
36,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
34,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
53,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
51,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,0
47,Self-emp-not-inc,Doctorate,Married-civ-spouse,Transport-moving,Husband,White,Male,45,0
30,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,42,0
20,Private,HS-grad,Never-married,Other-service,Unmarried,White,Male,40,0
42,Federal-gov,Masters,Divorced,Adm-clerical,Not-in-family,White,Male,60,0
31,Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,40,0
33,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,0
25,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Female,30,0
20,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,0
23,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,40,0
41,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,50,0
54,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,35,0
25,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,50,0
19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,0
24,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,37,0
56,Federal-gov,Bachelors,Never-married,Transport-moving,Not-in-family,Black,Male,65,0
21,Local-gov,Some-college,Never-married,Other-service,Not-in-family,White,Female,40,0
34,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,0
19,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,0
48,Private,HS-grad,Separated,Adm-clerical,Not-in-family,White,Female,40,0
34,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,40,0
31,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,40,0
36,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,40,0
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,0
27,Private,Some-college,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,40,0
35,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,65,0
31,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,60,0
27,Federal-gov,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,40,0
28,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
42,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,46,0
44,Private,Some-college,Separated,Exec-managerial,Not-in-family,White,Male,45,0
41,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,56,0
28,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,35,0
41,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
35,Private,10th,Widowed,Other-service,Not-in-family,Black,Female,40,0
58,Private,Masters,Divorced,Adm-clerical,Not-in-family,White,Female,45,0
40,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,48,0
31,Private,Assoc-voc,Never-married,Transport-moving,Own-child,White,Male,60,0
30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,40,0
32,Private,Some-college,Separated,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,40,0
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,40,0
34,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,0
56,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,0
45,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,40,0
50,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,0
